,Kaufpreis,Zimmer,Wohnfläche ca.,Street,City,Anbieter,Wohnungslage,Bezug,Description,Wohnanlage,Baujahr:,Energy,Energy2,Lage,Price&Kosten,"('Baujahr:',)",Wohnfläche,Zustand:,"('Zustand:',)",3,Personenaufzug,"('Anbieter',)",2,,"('Personenaufzug',)",Mindestpreis,Stellplatz:,1
10,3.349.000 €,3," 201,60 m²",Gabrielenstr. 3,80636 München  (Neuhausen-Nymphenburg),Gewerblicher,KategoriePenthouseWohnungslage4. Geschoss (Dachgeschoss)BezugAnfang 2024,Wohnungslage4. Geschoss (Dachgeschoss),"Bad mit Wanne und Dusche, Gäste-WC Balkon, Terrasse Böden: Parkett Zustand: Erstbezug Weitere Räume: Kelleranteil ",Baujahr: 2021 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage ,2021,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2021Wesentliche EnergieträgerFernwärmeEffizienzklasseBEndenergiebedarf 71,20 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartFußbodenheizung,"KRAFTVOLLER STANDORT. AUTHENTISCHER CHARAKTER. Das St.-Vinzenz-Viertel ist nahbar und weltgewandt, persönlich und pulsierend zugleich. Sein ursprüngliches Münchner Flair und die vitale Ausstrahlung verleihen dem lebenswerten Viertel in Neuhausen kosmopolitischen Charakter. Hier genießt man ein großstädtisches Angebot in...",,,,,,,,,,,,,,
11,370.000 €,"1,5", 39 m²,Straße nicht freigegeben,81677 München  (Au-Haidhausen),Gewerblicher,Wohnungslage3. GeschossBezugnach Absprache,Bezugnach Absprache,"Einbauküche Böden: Fliesenboden, Laminat Zustand: gepflegt Weitere Räume: Wasch-Trockenraum ",Baujahr: 1970 Personenaufzug 1 Stellplatz ,1970,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1970Wesentliche EnergieträgerGasGültigkeit seit 12.02.2018 EffizienzklasseFEndenergieverbrauch 164,10 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Das Appartement befindet sich am Leuchtenbergring, einer belebten Gegend in München-Berg am Laim und Au-Haidhausen, in der Nähe von > daseinstein <, dem größten Münchner Einkaufszentrum innerhalb des Mittleren Rings. Die Gegend ist eine der Wirtschafts-Toplagen in der Region, deshalb ist die Infrastruktur hervorragend...",,,,,,,,,,,,,,
12,995.000 €," 2,5",,Straße nicht freigegeben,81827 München  (Trudering-Riem),Gewerblicher,WohnungslageErdgeschoss,GebäudetypWohngebäude,"Garten, Terrasse, Gartenanteil barrierefrei Böden: Parkett ",Zustand: Neubau ,,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2022EffizienzklasseA+Endenergiebedarf 16,60 kWh/(m²·a)  ",HeizungsartLuft-/Wasser-Wärmepumpe,"Trudering - die gelungene Symbiose von Stadt und Land. Eine hervorragende Infrastruktur und verschiedene Parkanlagen in der näheren Umgebung, darunter die größte zusammenhängende Waldfläche im Münchner Stadtgebiet, machen diesen Stadtteil zu einer besonders lebens- und liebenswerten Wohngegend. Die gute...",,, k.A.,Neubau,,,,,,,,,,
13,1.180.000 €,3, 105 m²,Straße nicht freigegeben,80809 München  (Schwabing-West),Gewerblicher,Wohnungslage3. GeschossBezugnach Ansprache Derzeitige Nutzungfrei,Bezugnach Ansprache ,Bad mit Fenster und Dusche Zustand: gepflegt ,Baujahr: 1962 1 Stellplatz: Tiefgarage ,1962,,EnergieträgerÖl,,,,,,,,,,,,,,,
14,948.000 €,k.A., 61 m²,Straße nicht freigegeben,81675 München  (Au-Haidhausen),Gewerblicher,,,,,,,,"a) 2-Zi. -Whg. im 1. OG, Lift vorhanden, Wfl. ca. 61 m² (ink. Balkon zu 1/2), Kellerabteil im KG, Bj. ca. 1981/1982. b) Tiefgaragenstellplatz in Vierfachparker (oben rechts), Bj. ca. 1981/1982.Gläubiger: Kein Ansprechpartner vorhanden.Hier finden Sie weitere Informationen sowie Dokumente zum Object (bitte kopieren...",,,,,,,,,,,,,,
15,1.100.000 €,"4,5", 115 m²,Straße nicht freigegeben,81475 München  (Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,Wohnungslage2. Geschoss (Dachgeschoss)Derzeitige Nutzungfrei,Derzeitige Nutzungfrei,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten, Terrasse, Gartenanteil Ausblick: Fernblick Einbauküche Böden: Parkett Weitere Räume: Kelleranteil ",Baujahr: 2008 2 Stellplätze: Tiefgarage ,2008,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeWesentliche EnergieträgerGasEffizienzklasseCEndenergieverbrauch 94,20 kWh/(m²·a)  - Warmwasser enthalten ","EnergieträgerGasHeizungsartoffener Kamin, Zentralheizung","München Maxhof. Traumlage am Forstenrieder Park.Absolut ruhig und idyllisch. Viel Grün in der Nachbarschaft.Kurze Wege zur U-Bahn und ins Ortszentrum.Hochwertige Nachbarschaft, Villen, gepflegte Mehrfamilienhäuser.",,,,,,,,,,,,,,
16,1.089.000 €,4," 116,22 m²",Osterangerstraße 13,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage3. Geschoss,,"Bad mit Fenster, Wanne und Dusche Balkon, Garten ",Zustand: Neubau Personenaufzug ,,,,"Moderne und hochwertige Eigentumswohnungen mit gemütlichem Flair und besonderer Ausstattung machen das Stadtquartier meinraum München West zu einer Oase für jedes Lebensalter. Finden Sie Ihr Traumzuhause als Paar, als junge Familie oder als Wohngemeinschaft im besten Alter.Für die Alltagsgestaltung und die Freizeitaktivitäten...",,,,Neubau,,,,,,,,,,
17,520.000 €,"1,5", 58 m²,Straße nicht freigegeben,81925 München  (Bogenhausen),Gewerblicher,WohnungslageErdgeschoss,,,,,,,"Infrastruktur: Unweit wurde ein supermodernes Einkaufszentrum gebaut (Bogenhausener Forum), mit Aldi, Edeka etc., Restaurants, Services aller Art, Ärzten etc. und einer kompletten Infrastruktur inkl. des ganzen Arabella-Zentrums vor der Tür mit Kinos, Bars und allem für den täglichen Bedarf. Verkehrstechnische...",,,,,,,,,,,,,,
18,850.000 €,3," 83,80 m²",Straße nicht freigegeben,81925 München  (Bogenhausen),Gewerblicher,WohnungslageErdgeschossBezugvermietetDerzeitige Nutzungvermietet,Bezugvermietet,"Balkon, Garten, Terrasse Ausstattung: neuwertig Weitere Räume: Kelleranteil ",Baujahr: 2013 1 Stellplatz: Tiefgarage ,2013,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2013Wesentliche EnergieträgerFERNGültigkeit bis 13.10.2023 EffizienzklasseCEndenergiebedarf 67,70 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Bogenhausen / Oberföhring liegt im Münchner Nordosten und zählt seit jeher zu den beliebtesten Stadtteilen Münchens, nicht zuletzt wegen seiner lückenlosen Infrastruktur. Die Nähe zur Isar und zum Englischen Garten manchen diesen Stadtteil zum Magneten für Menschen die gerne stadtnah und dennoch grün und ruhig leben möchten...",,,,,,,,,,,,,,
19,699.000 €,4, 85 m²,Straße nicht freigegeben,80992 München  (Moosach),Gewerblicher,Wohnungslage4. GeschossDerzeitige Nutzungfrei,Derzeitige Nutzungfrei,Balkon Einbauküche Böden: Laminat ,Baujahr: 1967 Personenaufzug 1 Stellplatz: Tiefgarage ,1967,EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeWesentliche EnergieträgerÖlGültigkeit 18.07.2018 bis 18.07.2028 ,EnergieträgerÖl,"Moosach liegt im Nordwesten von München und bildet den 10.Stadtbezirk der Landeshauptstadt München. „ZwischenBauerndorf und Boomtown“, so beschreibt der MünchnerKulturGeschichtsPfad den Stadtteil mit rund 54.000 Einwohnernund einer Größe von 1.110 Hektar. Noch heute ist die über 1.200Jahre alte Geschichte...",,,,,,,,,,,,,,
20,796.000 €,4, 93 m²,Straße nicht freigegeben,81243 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage1. GeschossBezugsofort,Bezugsofort,"Gäste-WC Balkon Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Wasch-Trockenraum ",Baujahr: 1982 ,1982,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1982Wesentliche EnergieträgerGasGültigkeit seit 01.08.2018 EffizienzklasseEEndenergiebedarf 144,20 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Diese Immobilie ist nur ca. 5 Minuten zum S-Bahnhof Westkreuz (S6 & S8) und wenige Minuten zum Pasinger S- und Zentral-Bahnhof entfernt. Pasing ist das lebhafteste Viertel des Münchner Westens. Rund um den Bahnhof und den Pasinger Marienplatz ist immer etwas los. Wer kulturell etwas erleben möchte, ist mit einem Besuch...",,,,,,,,,,,,,,
21,495.000 €,"1,5"," 47,82 m²",Straße nicht freigegeben,81371 München  (Sendling),Gewerblicher,Wohnungslage2. Geschoss,EnergieausweistypVerbrauchsausweis,"Einbauküche Böden: Fliesenboden, Laminat Zustand: gepflegt ",Baujahr: 1993 Personenaufzug 1 Stellplatz: Tiefgarage ,1993,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1993Wesentliche EnergieträgerFERNGültigkeit bis 15.05.2024 Endenergieverbrauch 79,10 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerFernwärme,"Wohnen im Grünen: Sendlinger Feld Der Stadtbezirk Sendlinger Feld zeichnet sich durch seine Zentrumsnähe und exzellente Verkehrsanbindung aus. Die Wohnung wird von zahlreichen Grünanlagen umschlossen. ""Grünes"" Wohnen im Herzen der Landeshauptstadt!Für ausgiebige Spaziergänge oder Freizeitaktivitäten im Freien...",,,,,,,,,,,,,,
22,398.000 €,2, 49 m²,Straße nicht freigegeben,81377 München  (Hadern),Gewerblicher,WohnungslageErdgeschossDerzeitige Nutzungvermietet,Derzeitige Nutzungvermietet,Garten Einbauküche barrierefrei Böden: Parkett Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 2002 Personenaufzug 1 Stellplatz: Tiefgarage ,2002,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeGültigkeit bis 04.12.2028 EffizienzklasseBEndenergieverbrauch 74,60 kWh/(m²·a)  ",EnergieträgerFernwärmeHeizungsartZentralheizung,Die schöne Wohnanlage befindet sich in einer ruhigen Seitenstraße im Münchner Stadtteil Großhadern. Im Süd-Westen von München gelegen gehört Großhadern zu den bevorzugten Stadtteilen Münchens. Einkaufen/Besorgungen:Verschiedene Geschäfte des täglichen Bedarfs befinden sich entlang der Heiglhofstraße und der...,,,,,,,,,,,,,,
23,1.700.000 €,"3,5", 102 m²,Straße nicht freigegeben,81541 München / Au-Haidhausen ,Gewerblicher,Wohnungslage4. Geschoss (Dachgeschoss)Bezugnach Absprache,Bezugnach Absprache,"Gäste-WC Terrasse Einbauküche, offene Küche Zustand: renoviert / saniert Weitere Räume: Kelleranteil ",Baujahr: 1896 ,1896,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1904Wesentliche EnergieträgerGASGültigkeit bis 08.04.2024 Endenergieverbrauch 88,90 kWh/(m²·a)  ","EnergieträgerFernwärme, GasHeizungsartZentralheizung","München-HaidhausenDie angebotene Immobilie befindet sich im Herzen von Haidhausen auch bekannt unter dem Franzosenviertel - zentral zwischen Ostbahnhof, Max-Weber-Platz und dem Rosenheimer-Platz, jedoch in einer ruhigen Seitenstrasse gelegen.Die Tram-Haltestelle Wörthstrasse ist in 1 Min erreichbar, der...",,,,,,,,,,,,,,
24,759.000 €,3, 85 m²,Eggenfeldener Str. 129,81929 München  (Bogenhausen),Gewerblicher,Wohnungslage2. GeschossBezugsofort,EnergieausweistypVerbrauchsausweis,Bad mit Dusche Balkon Zustand: renoviert / saniert Weitere Räume: Kelleranteil ,Baujahr: 1985 Personenaufzug 1 Stellplatz: Tiefgarage ,1985,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeEffizienzklasseCEndenergieverbrauch 86,00 kWh/(m²·a)  ",EnergieträgerGasHeizungsartZentralheizung,"Diese Wohnung befindet sich in einer etablierten und gefragten Wohnlage im Münchener Stadtteil Bogenhausen-Zamdorf im Osten von München. Dank der nahegelegenen Autobahn A94 profitiert der Stadtteil von einer sehr guten Anbindung sowohl an die Innenstadt (6 km zum Stadtzentrum), den Mittleren Ring und auch an den Fernverkehr...",,,,,,,,,,,,,,
25,495.000 €,2, 53 m²,Straße nicht freigegeben,80636 München  (Neuhausen-Nymphenburg),Gewerblicher,Bezugsofort,EnergieausweistypVerbrauchsausweis,Einbauküche Zustand: gepflegt ,Baujahr: 1972 Personenaufzug 1 Stellplatz: Tiefgarage ,1972,"EnergieausweistypVerbrauchsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1972Wesentliche EnergieträgerOELGültigkeit bis 28.06.2028 EffizienzklasseEEndenergieverbrauch 135,00 kWh/(m²·a)  - Warmwasser enthalten ",EnergieträgerÖlHeizungsartZentralheizung,"Ruhige Lage in Neuhausen! Top-Infrastruktur und hervorragende Verkehrsanbindung!!!Wer hier in Neuhausen, am Puls des Lebens wohnt, kann sich über eine erstklassige Infrastruktur mit allen wichtigen Einrichtungen freuen. Alle Geschäfte des täglichen Bedarfs finden sich in unmittelbarer Umgebung (z.B. REWE, Lidl, Bäcker...",,,,,,,,,,,,,,
26,995.000 €,3, 105 m²,Straße nicht freigegeben,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage1. Geschoss (Erdgeschoss)Bezug01.01.2023,Bezug01.01.2023,"Gäste-WC Garten, Terrasse Einbauküche, offene Küche Ausstattung: neuwertig Weitere Räume: Wasch-Trockenraum ",Baujahr: 2021 Personenaufzug 1 Stellplatz: Tiefgarage Wellness: Sauna ,2021,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis2021Wesentliche EnergieträgerELEKTROGültigkeit bis 28.02.2031 EffizienzklasseA+Endenergiebedarf 22,00 kWh/(m²·a)  ","EnergieträgerElektro, GasHeizungsartFußbodenheizung",Die Wohnung liegt im beliebten und sehr gepflegten Stadtteil Aubing (Süd) / Neuaubing im Münchner Westen. Das nähere Umfeld der Wohnanlage ist geprägt von Einfamilien- und kleineren Mehrfamilienhäusern eingebettet in gewachsene Grundstücke mit viel Grün. Unmittelbar östlich an die Wohnanlage schließt ich ein kleiner Park an...,,,,,,,,,,,,,,
27,1.099.000 €,4," 131,52 m²",Straße nicht freigegeben,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,WohnungslageErdgeschoss,EnergieträgerGas,"Böden: Parkett, Steinboden Zustand: gepflegt ",Baujahr: 1993 1 Stellplatz: Tiefgarage ,1993,,"EnergieträgerGasHeizungsartFußbodenheizung, Zentralheizung","Ein Ort der Erholung!Aubing ist ein besonders beliebter Stadtteil Münchens mit vielen Möglichkeiten. Zwischen Badeseen, weitläufigen Feldern und ruhigen Wäldern lässt es sich in diesem Gebiet besonders gut leben.Das Zusammenspiel aus Ruhe, Freizeitangeboten und besonders guter Infrastruktur erhöht den...",,,,,,,,,,,,,,
28,929.000 €,4," 102,32 m²",Osterangerstraße 13,81249 München  (Aubing-Lochhausen-Langwied),Gewerblicher,Wohnungslage1. Geschoss,,"Bad mit Fenster, Wanne und Dusche Balkon, Garten barrierefrei, rollstuhlgerecht ",Zustand: Neubau Personenaufzug ,,,,"Urban, modern und mit ländlichem Flair zugleich präsentiert sich Ihr neues Zuhause im Areal meinraum München West. Mit bester Anbindung zur Innenstadt, vielfältigen Einkaufsmöglichkeiten und einer guten Erreichbarkeit von Freizeit-Zielen und Arbeitsumfeld sowie dem Münchener Flughafen wohnen Sie unweit der Naherholungsgebiete...",,,,Neubau,,,,,,,,,,
29,795.000 €,3, 89 m²,Straße nicht freigegeben,81377 Westpark / München  (Sendling-Westpark),Gewerblicher,Wohnungslage1. GeschossBezugsofort,Bezugsofort,Garten Zustand: renoviert / saniert Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1971 1 Stellplatz: Tiefgarage ,1971,,EnergieträgerÖlHeizungsartZentralheizung,Allgemein  Ihre Traumwohnung befindet sich in bester Lage Münchens in Sendling-Westpark. Sie sind hier verkehrstechnisch hervorragend angebunden und haben alles in der Nähe: von Einkaufsmöglichkeiten bis hin zu den Parkanlagen.   Einkaufsmöglichkeiten  In Ihrer direkteren Peripherie befinden sich...,,,,,,,,,,,,,,
30,1.940.000 €,"3,5"," 140,57 m²",Straße nicht freigegeben,80796 München  (Schwabing-West),Gewerblicher,KategorieTerrassenwohnungWohnungslage6. GeschossBezug01.11.2022,Wohnungslage6. Geschoss,Bad mit Fenster Terrasse Einbauküche ,Baujahr: 1955 Personenaufzug 1 Stellplatz ,1955,"EnergieausweistypBedarfsausweisGebäudetypWohngebäudeBaujahr laut Energieausweis1955Gültigkeit 28.01.2019 bis 27.01.2029 EffizienzklasseCEndenergiebedarf 85,80 kWh/(m²·a)  ",,"Schwabing bietet seinen Bewohnern ein hohes Maß an Lebensqualität. Die zentrale Lage in der Nähe der Altstadt in Kombination mit den vielen Grünflächen (Englischer Garten, Luitpoldpark, Leopoldpark, Olympiapark), bester Versorgung mit Geschäften vor Ort und einer perfekten Anbindung machen diese Lage so lebenswert und...",,,,,,,,,,,,,,
