,street,description,wohnanlage,energy_2,lage,Hausprice,Room,Area,Post_Code,District,Offerer,Year,Status,Floor,Own
10,Gabrielenstr. 3,"Bad mit Wanne und Dusche, Gäste-WC Balkon, Terrasse Böden: Parkett Zustand: Erstbezug Weitere Räume: Kelleranteil ",Baujahr: 2021 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"KRAFTVOLLER STANDORT. AUTHENTISCHER CHARAKTER. Das St.-Vinzenz-Viertel ist nahbar und weltgewandt, persönlich und pulsierend zugleich. Sein ursprüngliches Münchner Flair und die vitale Ausstrahlung verleihen dem lebenswerten Viertel in Neuhausen kosmopolitischen Charakter. Hier genießt man ein großstädtisches Angebot in...",3349000.0,3,201.6,80636,(Neuhausen-Nymphenburg),Gewerblicher,2021,,4 Roof,
11,,"Einbauküche Böden: Fliesenboden, Laminat Zustand: gepflegt Weitere Räume: Wasch-Trockenraum ",Baujahr: 1970 Personenaufzug 1 Stellplatz ,EnergieträgerGasHeizungsartZentralheizung,"Das Appartement befindet sich am Leuchtenbergring, einer belebten Gegend in München-Berg am Laim und Au-Haidhausen, in der Nähe von > daseinstein <, dem größten Münchner Einkaufszentrum innerhalb des Mittleren Rings. Die Gegend ist eine der Wirtschafts-Toplagen in der Region, deshalb ist die Infrastruktur hervorragend...",370000.0,1.5,39.0,81677,(Au-Haidhausen),Gewerblicher,1970,,3,Nach Vereinbarung
12,,"Garten, Terrasse, Gartenanteil barrierefrei Böden: Parkett ",Zustand: Neubau ,HeizungsartLuft-/Wasser-Wärmepumpe,"Trudering - die gelungene Symbiose von Stadt und Land. Eine hervorragende Infrastruktur und verschiedene Parkanlagen in der näheren Umgebung, darunter die größte zusammenhängende Waldfläche im Münchner Stadtgebiet, machen diesen Stadtteil zu einer besonders lebens- und liebenswerten Wohngegend. Die gute...",995000.0,2.5,,81827,(Trudering-Riem),Gewerblicher,,New,Ground,
13,,Bad mit Fenster und Dusche Zustand: gepflegt ,Baujahr: 1962 1 Stellplatz: Tiefgarage ,EnergieträgerÖl,,1180000.0,3,105.0,80809,(Schwabing-West),Gewerblicher,1962,,3,
14,,,,,"a) 2-Zi. -Whg. im 1. OG, Lift vorhanden, Wfl. ca. 61 m² (ink. Balkon zu 1/2), Kellerabteil im KG, Bj. ca. 1981/1982. b) Tiefgaragenstellplatz in Vierfachparker (oben rechts), Bj. ca. 1981/1982.Gläubiger: Kein Ansprechpartner vorhanden.Hier finden Sie weitere Informationen sowie Dokumente zum Object (bitte kopieren...",948000.0,Unknown,61.0,81675,(Au-Haidhausen),Gewerblicher,,,,
15,,"Bad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten, Terrasse, Gartenanteil Ausblick: Fernblick Einbauküche Böden: Parkett Weitere Räume: Kelleranteil ",Baujahr: 2008 2 Stellplätze: Tiefgarage ,"EnergieträgerGasHeizungsartoffener Kamin, Zentralheizung","München Maxhof. Traumlage am Forstenrieder Park.Absolut ruhig und idyllisch. Viel Grün in der Nachbarschaft.Kurze Wege zur U-Bahn und ins Ortszentrum.Hochwertige Nachbarschaft, Villen, gepflegte Mehrfamilienhäuser.",1100000.0,4.5,115.0,81475,(Thalk.Obersendl.-Forsten-Fürstenr.-Solln),Gewerblicher,2008,,2 Roof,Sofort
16,Osterangerstraße 13,"Bad mit Fenster, Wanne und Dusche Balkon, Garten ",Zustand: Neubau Personenaufzug ,,"Moderne und hochwertige Eigentumswohnungen mit gemütlichem Flair und besonderer Ausstattung machen das Stadtquartier meinraum München West zu einer Oase für jedes Lebensalter. Finden Sie Ihr Traumzuhause als Paar, als junge Familie oder als Wohngemeinschaft im besten Alter.Für die Alltagsgestaltung und die Freizeitaktivitäten...",1089000.0,4,116.22,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,,New,3,
17,,,,,"Infrastruktur: Unweit wurde ein supermodernes Einkaufszentrum gebaut (Bogenhausener Forum), mit Aldi, Edeka etc., Restaurants, Services aller Art, Ärzten etc. und einer kompletten Infrastruktur inkl. des ganzen Arabella-Zentrums vor der Tür mit Kinos, Bars und allem für den täglichen Bedarf. Verkehrstechnische...",520000.0,1.5,58.0,81925,(Bogenhausen),Gewerblicher,,,Ground,
18,,"Balkon, Garten, Terrasse Ausstattung: neuwertig Weitere Räume: Kelleranteil ",Baujahr: 2013 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Bogenhausen / Oberföhring liegt im Münchner Nordosten und zählt seit jeher zu den beliebtesten Stadtteilen Münchens, nicht zuletzt wegen seiner lückenlosen Infrastruktur. Die Nähe zur Isar und zum Englischen Garten manchen diesen Stadtteil zum Magneten für Menschen die gerne stadtnah und dennoch grün und ruhig leben möchten...",850000.0,3,83.8,81925,(Bogenhausen),Gewerblicher,2013,,Ground,
19,,Balkon Einbauküche Böden: Laminat ,Baujahr: 1967 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerÖl,"Moosach liegt im Nordwesten von München und bildet den 10.Stadtbezirk der Landeshauptstadt München. „ZwischenBauerndorf und Boomtown“, so beschreibt der MünchnerKulturGeschichtsPfad den Stadtteil mit rund 54.000 Einwohnernund einer Größe von 1.110 Hektar. Noch heute ist die über 1.200Jahre alte Geschichte...",699000.0,4,85.0,80992,(Moosach),Gewerblicher,1967,,4,Sofort
20,,"Gäste-WC Balkon Einbauküche Böden: Fliesenboden, Parkett Zustand: gepflegt Weitere Räume: Wasch-Trockenraum ",Baujahr: 1982 ,EnergieträgerGasHeizungsartZentralheizung,"Diese Immobilie ist nur ca. 5 Minuten zum S-Bahnhof Westkreuz (S6 & S8) und wenige Minuten zum Pasinger S- und Zentral-Bahnhof entfernt. Pasing ist das lebhafteste Viertel des Münchner Westens. Rund um den Bahnhof und den Pasinger Marienplatz ist immer etwas los. Wer kulturell etwas erleben möchte, ist mit einem Besuch...",796000.0,4,93.0,81243,(Aubing-Lochhausen-Langwied),Gewerblicher,1982,,1,Sofort
21,,"Einbauküche Böden: Fliesenboden, Laminat Zustand: gepflegt ",Baujahr: 1993 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärme,"Wohnen im Grünen: Sendlinger Feld Der Stadtbezirk Sendlinger Feld zeichnet sich durch seine Zentrumsnähe und exzellente Verkehrsanbindung aus. Die Wohnung wird von zahlreichen Grünanlagen umschlossen. ""Grünes"" Wohnen im Herzen der Landeshauptstadt!Für ausgiebige Spaziergänge oder Freizeitaktivitäten im Freien...",495000.0,1.5,47.82,81371,(Sendling),Gewerblicher,1993,,2,
22,,Garten Einbauküche barrierefrei Böden: Parkett Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 2002 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,Die schöne Wohnanlage befindet sich in einer ruhigen Seitenstraße im Münchner Stadtteil Großhadern. Im Süd-Westen von München gelegen gehört Großhadern zu den bevorzugten Stadtteilen Münchens. Einkaufen/Besorgungen:Verschiedene Geschäfte des täglichen Bedarfs befinden sich entlang der Heiglhofstraße und der...,398000.0,2,49.0,81377,(Hadern),Gewerblicher,2002,,Ground,
23,,"Gäste-WC Terrasse Einbauküche, offene Küche Zustand: renoviert / saniert Weitere Räume: Kelleranteil ",Baujahr: 1896 ,"EnergieträgerFernwärme, GasHeizungsartZentralheizung","München-HaidhausenDie angebotene Immobilie befindet sich im Herzen von Haidhausen auch bekannt unter dem Franzosenviertel - zentral zwischen Ostbahnhof, Max-Weber-Platz und dem Rosenheimer-Platz, jedoch in einer ruhigen Seitenstrasse gelegen.Die Tram-Haltestelle Wörthstrasse ist in 1 Min erreichbar, der...",1700000.0,3.5,102.0,81541,/,Gewerblicher,1896,,4 Roof,Nach Vereinbarung
24,Eggenfeldener Str. 129,Bad mit Dusche Balkon Zustand: renoviert / saniert Weitere Räume: Kelleranteil ,Baujahr: 1985 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,"Diese Wohnung befindet sich in einer etablierten und gefragten Wohnlage im Münchener Stadtteil Bogenhausen-Zamdorf im Osten von München. Dank der nahegelegenen Autobahn A94 profitiert der Stadtteil von einer sehr guten Anbindung sowohl an die Innenstadt (6 km zum Stadtzentrum), den Mittleren Ring und auch an den Fernverkehr...",759000.0,3,85.0,81929,(Bogenhausen),Gewerblicher,1985,,2,
25,,Einbauküche Zustand: gepflegt ,Baujahr: 1972 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerÖlHeizungsartZentralheizung,"Ruhige Lage in Neuhausen! Top-Infrastruktur und hervorragende Verkehrsanbindung!!!Wer hier in Neuhausen, am Puls des Lebens wohnt, kann sich über eine erstklassige Infrastruktur mit allen wichtigen Einrichtungen freuen. Alle Geschäfte des täglichen Bedarfs finden sich in unmittelbarer Umgebung (z.B. REWE, Lidl, Bäcker...",495000.0,2,53.0,80636,(Neuhausen-Nymphenburg),Gewerblicher,1972,,,
26,,"Gäste-WC Garten, Terrasse Einbauküche, offene Küche Ausstattung: neuwertig Weitere Räume: Wasch-Trockenraum ",Baujahr: 2021 Personenaufzug 1 Stellplatz: Tiefgarage Wellness: Sauna ,"EnergieträgerElektro, GasHeizungsartFußbodenheizung",Die Wohnung liegt im beliebten und sehr gepflegten Stadtteil Aubing (Süd) / Neuaubing im Münchner Westen. Das nähere Umfeld der Wohnanlage ist geprägt von Einfamilien- und kleineren Mehrfamilienhäusern eingebettet in gewachsene Grundstücke mit viel Grün. Unmittelbar östlich an die Wohnanlage schließt ich ein kleiner Park an...,995000.0,3,105.0,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,2021,,Ground,01.01.2023
27,,"Böden: Parkett, Steinboden Zustand: gepflegt ",Baujahr: 1993 1 Stellplatz: Tiefgarage ,"EnergieträgerGasHeizungsartFußbodenheizung, Zentralheizung","Ein Ort der Erholung!Aubing ist ein besonders beliebter Stadtteil Münchens mit vielen Möglichkeiten. Zwischen Badeseen, weitläufigen Feldern und ruhigen Wäldern lässt es sich in diesem Gebiet besonders gut leben.Das Zusammenspiel aus Ruhe, Freizeitangeboten und besonders guter Infrastruktur erhöht den...",1099000.0,4,131.52,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,1993,,Ground,
28,Osterangerstraße 13,"Bad mit Fenster, Wanne und Dusche Balkon, Garten barrierefrei, rollstuhlgerecht ",Zustand: Neubau Personenaufzug ,,"Urban, modern und mit ländlichem Flair zugleich präsentiert sich Ihr neues Zuhause im Areal meinraum München West. Mit bester Anbindung zur Innenstadt, vielfältigen Einkaufsmöglichkeiten und einer guten Erreichbarkeit von Freizeit-Zielen und Arbeitsumfeld sowie dem Münchener Flughafen wohnen Sie unweit der Naherholungsgebiete...",929000.0,4,102.32,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,,New,1,
29,,Garten Zustand: renoviert / saniert Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1971 1 Stellplatz: Tiefgarage ,EnergieträgerÖlHeizungsartZentralheizung,Allgemein  Ihre Traumwohnung befindet sich in bester Lage Münchens in Sendling-Westpark. Sie sind hier verkehrstechnisch hervorragend angebunden und haben alles in der Nähe: von Einkaufsmöglichkeiten bis hin zu den Parkanlagen.   Einkaufsmöglichkeiten  In Ihrer direkteren Peripherie befinden sich...,795000.0,3,89.0,81377,/,Gewerblicher,1971,,1,Sofort
30,,Bad mit Fenster Terrasse Einbauküche ,Baujahr: 1955 Personenaufzug 1 Stellplatz ,,"Schwabing bietet seinen Bewohnern ein hohes Maß an Lebensqualität. Die zentrale Lage in der Nähe der Altstadt in Kombination mit den vielen Grünflächen (Englischer Garten, Luitpoldpark, Leopoldpark, Olympiapark), bester Versorgung mit Geschäften vor Ort und einer perfekten Anbindung machen diese Lage so lebenswert und...",1940000.0,3.5,140.57,80796,(Schwabing-West),Gewerblicher,1955,,6,
31,,"Bad mit Wanne, Gäste-WC Balkon barrierefrei Zustand: renoviert / saniert Weitere Räume: Kelleranteil ",Baujahr: 1956 Personenaufzug ,EnergieträgerGasHeizungsartZentralheizung,Das Anwesen liegt im Stadtteil München Laim ca. 6 km Entfernung zum Zentrum Marienplatz. In der näheren Umgebung befindet sich überwiegend mehrgeschossige Wohnbebauung in geschlossener und offener Bauweise. Der S-Bahnhof Laim liegt ca. 200 Meter vom Haus entfernt. In der näheren Umgebung befindet sich darüber hinaus der...,598000.0,3,85.8,80687,(Laim),Gewerblicher,1956,,4,
32,,Terrasse Einbauküche Zustand: gepflegt ,Baujahr: 2016 Personenaufzug ,EnergieträgerGasHeizungsartZentralheizung,"Ruhige und gewachsene Wohnlage nahe des Petuelparks. Sehr gute Infrastruktur und ideale öffentliche Verkehrsverbindung durch die Buslinie N41, durch die U-Bahn mit den Linien U2 und U3 sowie durch die Straßenbahnlinien 12 und 28. Zahlreiche Geschäfte des täglichen Bedarfs sind in unmittelbarer Nähe. Kitas, Kindergärten und...",1675000.0,4.5,158.15,80807,(Milbertshofen-Am,Gewerblicher,2016,,4 Roof,
33,,"Bad mit Wanne Loggia barrierefrei Böden: Fliesenboden, Parkett Zustand: renoviert / saniert ",Baujahr: 1972 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,Das Gebäude wurde innerhalb des Olympiaprojekts anlässlich der Olympischen Sommerspiele 1972 erbaut und wurde dadurch weltbekannt. In unmittelbarer Nähe befindet sich die U-Bahn-Haltestelle Olympiazentrum sowie verschiedene Buslinien mit optimaler Anbindung an die Innenstadt. In ca. zehn Minuten erreicht man die Universität...,310000.0,1,32.0,80809,(Milbertshofen-Am,Gewerblicher,1972,,8,Sofort
34,,Balkon Zustand: gepflegt Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1996 1 Stellplatz ,EnergieträgerGasHeizungsartZentralheizung,Obermenzing liegt westlich von Nymphenburg und nördlich von Pasing. Insgesamt grenzt Obermenzing gar an acht Stadtteile. Mitten durch den Stadtteil führen die Zubringer zur Autobahn A 8 München-Stuttgart. Obermenzing ist direkt über die S-2 Richtung Petershausen an das städtische Verkehrsnetz angebunden.,389000.0,2,59.94,81245,(Pasing-Obermenzing),Gewerblicher,1996,,,
35,,"Bad mit Wanne Loggia Einbauküche, offene Küche Böden: Holzdielen Fenster: Kunststofffenster Weitere Räume: Kelleranteil ",Baujahr: 1956 ,EnergieträgerGasHeizungsartZentralheizung,Sämtliche Geschäfte des täglichen Bedarfs befinden sich in unmittelbarer Umgebung und sind bequem zu Fuß zu erreichen. Ein Edeka befindet sich in der gleichen Straße. Das nahegelegene Isarhochufer ist nur wenige Gehminuten vom Objekt entfernt und verspricht einen hohen Freizeit und Erholungswert. Die Münchner...,649000.0,2,66.38,81541,(Au-Haidhausen),Gewerblicher,1956,,1,01.01.2023
36,Gabrielenstr. 3,Bad mit Dusche Böden: Parkett Zustand: Erstbezug Weitere Räume: Kelleranteil ,Baujahr: 2021 Zustand: Neubau Personenaufzug ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"KRAFTVOLLER STANDORT. AUTHENTISCHER CHARAKTER. Das St.-Vinzenz-Viertel ist nahbar und weltgewandt, persönlich und pulsierend zugleich. Sein ursprüngliches Münchner Flair und die vitale Ausstrahlung verleihen dem lebenswerten Viertel in Neuhausen kosmopolitischen Charakter. Hier genießt man ein großstädtisches Angebot in...",829000.0,2,49.18,80636,(Neuhausen-Nymphenburg),Gewerblicher,2021,,2,2024
37,,"Bad mit Fenster und Dusche Balkon Einbauküche Böden: Fliesenboden, Parkett Zustand: renoviert / saniert Weitere Räume: Kelleranteil ",Baujahr: 1973 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Der beliebte und lebendige Stadtteil Laim/Westend liegt westlich des Münchner Stadtzentrums und besticht vor allem aufgrund seiner idealen Infrastruktur. Sämtliche Geschäfte des täglichen Bedarfs sind fußläufig bequem erreichbar. Wie z.B. ein Drogeriemarkt, ein Lebensmittelmarkt, eine Apotheke und eine Metzgerei in der...",340000.0,1,38.1,80687,(Laim),Gewerblicher,1973,,6,Sofort
38,Max-Kolbe-Allee 21,Bad mit Dusche Balkon Böden: Laminat Fenster: Kunststofffenster Zustand: gepflegt Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss ,Baujahr: 1990 1 Stellplatz: Tiefgarage Serviceleistungen: Reinigungsservice ,EnergieträgerFernwärmeHeizungsartZentralheizung,1A-LageMünchen - die Weltstadt mit Herz geprägt von Parks und Flüssen. Es gibt nichts was Sie hier nicht haben... die Nähe zu den Alpen... das Oktoberfest... die Fashion Week... das bayrische Hofbräuhaus.... der Rekordmeister des deutschen Fußballs... surfen auf der Isar... eine wunderschöne Stadt mit hohem...,364999.0,2,44.1,81739,(Ramersdorf-Perlach),Gewerblicher,1990,,Ground,
39,,Terrasse Einbauküche Ausstattung: neuwertig Anschlüsse: Kabelanschluss ,Baujahr: 2006 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerGasHeizungsartZentralheizung,"Die traumhafte und ruhige Gartenwohnung befindet sich in Waldtrudering, eine der gefragtesten Lagen im Münchner Südosten.Die Lage zeichnet sich durch hohe Wohnqualität und einer perfekten Infrastruktur aus. Alle Einkaufsmöglichkeiten für den täglichen Bedarf, Kindergärten, Schulen befinden sich in unmittelbaren...",849000.0,3,90.5,81825,/,Gewerblicher,2006,,Ground,Nach Vereinbarung
40,,"Balkon Böden: Fliesenboden, Teppichboden Zustand: renovierungsbedürftig / sanierungsbedürftig Weitere Räume: Wasch-Trockenraum ",Baujahr: 1973 Personenaufzug ,EnergieträgerGasHeizungsartZentralheizung,"Nur wenige Schritte sind es bis in den Westpark, einer herrlichen Grünanlage mit Biergärten, Seen, Freizeit und Sportanlagen.",460000.0,2.5,71.0,81373,(Sendling-Westpark),Gewerblicher,1973,,1,
41,,Zustand: gepflegt Weitere Räume: Kelleranteil ,Baujahr: 1975 ,EnergieträgerGasHeizungsartZentralheizung,"Verkehrsgünstige Lage, Bus 51 und 151 mit Verbindung zur U6 in unmittelbarer Nähe, sehr gut zu Fuß zu erreichen.Alle Einkaufsmöglichkeiten für den täglichen Bedarf sind gleich um die Ecke. Verkehrsgünstige Anbindung mit dem Kfz: zur Innenstadt ca. 15 Minuten, zur Autobahn A 96 nur 5 Minuten.  Die U-Bahnstation...",595000.0,2,79.76,81377,/,Gewerblicher,1975,,1,Sofort
42,,"Bad mit Wanne und Dusche, Gäste-WC Balkon, Garten, Terrasse offene Küche Ausstattung: neuwertig Weitere Räume: Abstellraum ",Baujahr: 2016 Personenaufzug 1 Stellplatz: Tiefgarage ,EnergieträgerFernwärmeHeizungsartFußbodenheizung,"Herzlich Willkommen in Haidhausen! Eines der beliebtesten Wohnviertel und Inbegriff für anspruchsvolles, schönes und zentrales Wohnen in München. Fußläufig zum Prinzregententheater, dem Prinzregentenbad - im Winter ein Eislaufplatz- dem Isarhochufer und umgeben von geschichtsträchtigen Bauten, wie dem Maximilianeum...",2395000.0,4,142.0,81675,(Au-Haidhausen),Gewerblicher,2016,,Ground,
43,,Gäste-WC Balkon ,Baujahr: 1960 Personenaufzug ,EnergieträgerFernwärmeHeizungsartZentralheizung,"Die Maxvorstadt ist einer der begehrtesten Stadtteile im Zentrum der Landeshauptstadt und als Studenten-, Akademiker- und Künstlerviertel mit einer gesunden Mischung aus jüngeren und älteren Menschen bekannt. Die angebotene Wohnung befindet sich in einer wenig befahrenen Seitenstrasse (Einbahnstrasse) in unmittelbarer Nähe...",1098000.0,4,97.36,80798,(Maxvorstadt),Gewerblicher,1960,,Ground,Sofort
44,,Gäste-WC Terrasse Einbauküche Weitere Räume: Kelleranteil ,3 Stellplätze ,,Bestage Lehel zwischen Isarauen und Englischem Garten.,6300000.0,6,250.0,80538,(Altstadt-Lehel),Gewerblicher,,,,
45,Osterangerstraße 13,"Bad mit Fenster, Wanne und Dusche Garten, Terrasse ",Zustand: Altbau (bis 1945) Personenaufzug ,,"Moderne und hochwertige Eigentumswohnungen mit gemütlichem Flair und besonderer Ausstattung machen das Stadtquartier meinraum München West zu einer Oase für jedes Lebensalter. Finden Sie Ihr Traumzuhause als Paar, als junge Familie oder als Wohngemeinschaft im besten Alter.Für die Alltagsgestaltung und die Freizeitaktivitäten...",889000.0,4,93.57,81249,(Aubing-Lochhausen-Langwied),Gewerblicher,,Old,Ground,
46,Industriestraße 30,Balkon ,Baujahr: 2022 Zustand: Neubau Personenaufzug 1 Stellplatz ,,"Nur  unweit  Ihres  neuen  Zuhauses  befindet  sich  der  denkmalgeschützte  Ortskern Alt-Aubings. Genießen Sie den ländlichen Charakter, traditionellen Charme und die naturnahe Lage sowie die optimale Verkehrsanbindung. Alt-Aubing - ein Standort mit vielen Vorzügen! Trotz  ruhiger  Lage:  Alles,  was  Sie  im  Alltag...",849900.0,3,80.8,81245,(Aubing-Lochhausen-Langwied),Gewerblicher,2022,,2,
47,,"Garten, Terrasse Einbauküche Ausstattung: neuwertig Weitere Räume: Kelleranteil Haustiere erlaubt ",Baujahr: 1993 Personenaufzug 1 Stellplatz: Garage ,EnergieträgerGasHeizungsartZentralheizung,"Die Wohnung liegt in einem der schönsten Viertel von München, dem Ortsteil Nymphenburg-Gern.Das vornehme Viertel Neuhausen-Nymphenburg-Gern erstreckt sich von der Waisenhausstraße bis zum Schlosspark des Schlosses Nymphenburg mit dem angrenzenden Botanischen Garten. Der Hirschgarten mit großem Biergarten sowie auch der...",995000.0,2,90.26,80638,(Neuhausen-Nymphenburg),Gewerblicher,1993,,Ground,Nach Vereinbarung
